Date,Home,Away,HG,AG,Res,League,HomeWin,AwayWin,Draw
2025-02-07,Stal Mielec,Jagiellonia,2,1,H,Poland,1,0,0
2025-02-07,Pogon Szczecin,Gornik Zabrze,3,0,H,Poland,1,0,0
2025-02-08,Radomiak Radom,Slask Wroclaw,1,1,D,Poland,0,0,1
2025-02-08,Rakow,GKS Katowice,1,2,A,Poland,0,1,0
2025-02-08,Piast Gliwice,Legia,1,0,H,Poland,1,0,0
2025-02-09,Korona Kielce,Motor Lublin,1,0,H,Poland,1,0,0
2025-02-09,Widzew Lodz,Cracovia,1,1,D,Poland,0,0,1
2025-02-09,Lechia Gdansk,Lech Poznan,1,0,H,Poland,1,0,0
2025-02-10,Puszcza,Zaglebie,1,2,A,Poland,0,1,0
2025-02-14,Cracovia,Korona Kielce,1,1,D,Poland,0,0,1
2025-02-14,Lech Poznan,Rakow,0,1,A,Poland,0,1,0
2025-02-15,Slask Wroclaw,Widzew Lodz,3,0,H,Poland,1,0,0
2025-02-15,Gornik Zabrze,Radomiak Radom,3,2,H,Poland,1,0,0
2025-02-15,Legia,Puszcza,2,0,H,Poland,1,0,0
2025-02-16,Stal Mielec,Pogon Szczecin,1,2,A,Poland,0,1,0
2025-02-16,GKS Katowice,Piast Gliwice,0,0,D,Poland,0,0,1
2025-02-16,Jagiellonia,Motor Lublin,3,0,H,Poland,1,0,0
2025-02-17,Zaglebie,Lechia Gdansk,1,3,A,Poland,0,1,0
2025-02-21,Piast Gliwice,Stal Mielec,2,2,D,Poland,0,0,1
2025-02-21,Rakow,Gornik Zabrze,1,0,H,Poland,1,0,0
2025-02-22,Korona Kielce,Slask Wroclaw,2,0,H,Poland,1,0,0
2025-02-22,Widzew Lodz,Pogon Szczecin,0,4,A,Poland,0,1,0
2025-02-22,Radomiak Radom,Legia,3,1,H,Poland,1,0,0
2025-02-23,Lechia Gdansk,Puszcza,0,2,A,Poland,0,1,0
2025-02-23,Cracovia,Jagiellonia,2,2,D,Poland,0,0,1
2025-02-23,Lech Poznan,Zaglebie,3,1,H,Poland,1,0,0
2025-02-24,Motor Lublin,GKS Katowice,3,2,H,Poland,1,0,0
2025-02-28,Radomiak Radom,Widzew Lodz,1,1,D,Poland,0,0,1
2025-02-28,Gornik Zabrze,Cracovia,0,1,A,Poland,0,1,0
2025-03-01,Stal Mielec,Korona Kielce,0,1,A,Poland,0,1,0
2025-03-01,Pogon Szczecin,Lech Poznan,0,3,A,Poland,0,1,0
2025-03-01,Zaglebie,Piast Gliwice,0,1,A,Poland,0,1,0
2025-03-02,Puszcza,Motor Lublin,0,1,A,Poland,0,1,0
2025-03-02,Legia,Slask Wroclaw,3,1,H,Poland,1,0,0
2025-03-02,Jagiellonia,GKS Katowice,1,0,H,Poland,1,0,0
2025-03-03,Rakow,Lechia Gdansk,3,1,H,Poland,1,0,0
2025-03-07,Korona Kielce,Puszcza,2,1,H,Poland,1,0,0
2025-03-07,Slask Wroclaw,Pogon Szczecin,1,1,D,Poland,0,0,1
2025-03-08,Cracovia,Radomiak Radom,1,2,A,Poland,0,1,0
2025-03-08,Piast Gliwice,Rakow,0,3,A,Poland,0,1,0
2025-03-08,Lech Poznan,Stal Mielec,3,1,H,Poland,1,0,0
2025-03-09,GKS Katowice,Zaglebie,1,0,H,Poland,1,0,0
2025-03-09,Lechia Gdansk,Gornik Zabrze,1,2,A,Poland,0,1,0
2025-03-09,Widzew Lodz,Jagiellonia,0,1,A,Poland,0,1,0
2025-03-10,Motor Lublin,Legia,3,3,D,Poland,0,0,1
2025-03-14,Radomiak Radom,Lechia Gdansk,2,1,H,Poland,1,0,0
2025-03-14,Pogon Szczecin,Cracovia,5,2,H,Poland,1,0,0
2025-03-15,Stal Mielec,Slask Wroclaw,1,4,A,Poland,0,1,0
2025-03-15,Gornik Zabrze,Motor Lublin,4,0,H,Poland,1,0,0
2025-03-15,Widzew Lodz,GKS Katowice,1,0,H,Poland,1,0,0
2025-03-16,Puszcza,Piast Gliwice,2,1,H,Poland,1,0,0
2025-03-16,Zaglebie,Korona Kielce,1,1,D,Poland,0,0,1
2025-03-16,Rakow,Legia,3,2,H,Poland,1,0,0
2025-03-16,Jagiellonia,Lech Poznan,2,1,H,Poland,1,0,0
2025-03-28,Piast Gliwice,Widzew Lodz,0,2,A,Poland,0,1,0
2025-03-28,Legia,Pogon Szczecin,0,0,D,Poland,0,0,1
2025-03-29,Cracovia,Puszcza,3,1,H,Poland,1,0,0
2025-03-29,Lechia Gdansk,Jagiellonia,1,0,H,Poland,1,0,0
2025-03-29,Slask Wroclaw,Lech Poznan,3,1,H,Poland,1,0,0
2025-03-30,Korona Kielce,Radomiak Radom,1,3,A,Poland,0,1,0
2025-03-30,Motor Lublin,Stal Mielec,4,1,H,Poland,1,0,0
2025-03-30,GKS Katowice,Gornik Zabrze,2,1,H,Poland,1,0,0
2025-03-31,Zaglebie,Rakow,0,2,A,Poland,0,1,0
2025-04-04,Stal Mielec,Cracovia,1,1,D,Poland,0,0,1
2025-04-04,Widzew Lodz,Lechia Gdansk,2,0,H,Poland,1,0,0
2025-04-05,Radomiak Radom,Zaglebie,0,1,A,Poland,0,1,0
2025-04-05,Slask Wroclaw,Motor Lublin,1,1,D,Poland,0,0,1
2025-04-05,Lech Poznan,Korona Kielce,2,0,H,Poland,1,0,0
2025-04-06,Jagiellonia,Piast Gliwice,1,1,D,Poland,0,0,1
2025-04-06,Gornik Zabrze,Legia,1,2,A,Poland,0,1,0
2025-04-06,Pogon Szczecin,GKS Katowice,4,0,H,Poland,1,0,0
2025-04-07,Puszcza,Rakow,1,1,D,Poland,0,0,1
2025-04-11,Zaglebie,Gornik Zabrze,2,1,H,Poland,1,0,0
2025-04-11,Korona Kielce,Widzew Lodz,2,1,H,Poland,1,0,0
2025-04-12,GKS Katowice,Puszcza,3,1,H,Poland,1,0,0
2025-04-12,Cracovia,Slask Wroclaw,2,4,A,Poland,0,1,0
2025-04-12,Rakow,Radomiak Radom,2,1,H,Poland,1,0,0
2025-04-13,Piast Gliwice,Pogon Szczecin,2,1,H,Poland,1,0,0
2025-04-13,Motor Lublin,Lech Poznan,1,2,A,Poland,0,1,0
2025-04-13,Legia,Jagiellonia,0,1,A,Poland,0,1,0
2025-04-14,Lechia Gdansk,Stal Mielec,3,2,H,Poland,1,0,0
2025-04-19,Piast Gliwice,Korona Kielce,1,1,D,Poland,0,0,1
2025-04-19,Slask Wroclaw,GKS Katowice,0,2,A,Poland,0,1,0
2025-04-19,Widzew Lodz,Motor Lublin,1,2,A,Poland,0,1,0
2025-04-19,Pogon Szczecin,Rakow,1,0,H,Poland,1,0,0
2025-04-21,Puszcza,Radomiak Radom,2,2,D,Poland,0,0,1
2025-04-21,Jagiellonia,Zaglebie,1,3,A,Poland,0,1,0
2025-04-21,Legia,Lechia Gdansk,2,1,H,Poland,1,0,0
2025-04-21,Lech Poznan,Cracovia,2,1,H,Poland,1,0,0
2025-04-22,Stal Mielec,Gornik Zabrze,0,0,D,Poland,0,0,1
2025-04-25,Puszcza,Pogon Szczecin,4,5,A,Poland,0,1,0
2025-04-25,Rakow,Slask Wroclaw,3,0,H,Poland,1,0,0
2025-04-26,Lechia Gdansk,Piast Gliwice,3,1,H,Poland,1,0,0
2025-04-26,Motor Lublin,Cracovia,0,1,A,Poland,0,1,0
2025-04-26,GKS Katowice,Legia,1,3,A,Poland,0,1,0
2025-04-27,Korona Kielce,Jagiellonia,3,1,H,Poland,1,0,0
2025-04-27,Gornik Zabrze,Widzew Lodz,0,0,D,Poland,0,0,1
2025-04-27,Radomiak Radom,Lech Poznan,2,2,D,Poland,0,0,1
2025-04-28,Zaglebie,Stal Mielec,2,2,D,Poland,0,0,1
2025-05-03,Stal Mielec,Rakow,0,2,A,Poland,0,1,0
2025-05-03,Slask Wroclaw,Zaglebie,3,1,H,Poland,1,0,0
2025-05-03,Lech Poznan,Puszcza,8,1,H,Poland,1,0,0
2025-05-04,Piast Gliwice,Radomiak Radom,0,0,D,Poland,0,0,1
2025-05-04,Cracovia,Lechia Gdansk,0,2,A,Poland,0,1,0
2025-05-04,Jagiellonia,Gornik Zabrze,1,1,D,Poland,0,0,1
2025-05-05,Korona Kielce,GKS Katowice,2,1,H,Poland,1,0,0
2025-05-09,Motor Lublin,Piast Gliwice,1,4,A,Poland,0,1,0
2025-05-09,Gornik Zabrze,Slask Wroclaw,2,0,H,Poland,1,0,0
2025-05-10,Radomiak Radom,Pogon Szczecin,2,0,H,Poland,1,0,0
2025-05-10,Zaglebie,Widzew Lodz,2,1,H,Poland,1,0,0
2025-05-10,Rakow,Jagiellonia,1,2,A,Poland,0,1,0
2025-05-11,Lechia Gdansk,Korona Kielce,3,2,H,Poland,1,0,0
2025-05-11,GKS Katowice,Cracovia,2,1,H,Poland,1,0,0
2025-05-11,Legia,Lech Poznan,0,1,A,Poland,0,1,0
2025-05-12,Puszcza,Stal Mielec,2,3,A,Poland,0,1,0
2025-05-14,Pogon Szczecin,Motor Lublin,3,0,H,Poland,1,0,0
2025-05-15,Widzew Lodz,Legia,0,2,A,Poland,0,1,0
2025-05-16,Stal Mielec,Radomiak Radom,2,2,D,Poland,0,0,1
2025-05-16,Slask Wroclaw,Jagiellonia,1,1,D,Poland,0,0,1
2025-05-17,Pogon Szczecin,Lechia Gdansk,3,3,D,Poland,0,0,1
2025-05-17,Piast Gliwice,Gornik Zabrze,2,0,H,Poland,1,0,0
2025-05-17,Korona Kielce,Rakow,1,1,D,Poland,0,0,1
2025-05-18,Motor Lublin,Zaglebie,1,0,H,Poland,1,0,0
2025-05-18,Cracovia,Legia,3,1,H,Poland,1,0,0
2025-05-18,GKS Katowice,Lech Poznan,2,2,D,Poland,0,0,1
2025-05-19,Widzew Lodz,Puszcza,2,0,H,Poland,1,0,0
2025-05-24,Gornik Zabrze,Korona Kielce,1,1,D,Poland,0,0,1
2025-05-24,Jagiellonia,Pogon Szczecin,1,1,D,Poland,0,0,1
2025-05-24,Lech Poznan,Piast Gliwice,1,0,H,Poland,1,0,0
2025-05-24,Lechia Gdansk,GKS Katowice,2,3,A,Poland,0,1,0
2025-05-24,Legia,Stal Mielec,2,2,D,Poland,0,0,1
2025-05-24,Puszcza,Slask Wroclaw,1,1,D,Poland,0,0,1
2025-05-24,Radomiak Radom,Motor Lublin,2,3,A,Poland,0,1,0
2025-05-24,Rakow,Widzew Lodz,2,1,H,Poland,1,0,0
2025-05-24,Zaglebie,Cracovia,1,2,A,Poland,0,1,0
